timestamp,region,node,node_type,cpu_usage,load1,load5,memory_available_ratio,swap_used_ratio,disk_read_rate,disk_write_rate,disk_io_util,filesystem_used_ratio,inode_used_ratio,open_fd_ratio,process_count
2026-07-28 12:35:00,ccf-aiops-北大,br-1,br,0.7000000003932314,0,0.01,0.8366574465705037,0,0,6940.444444444443,0.2488888888890667,0.71888786651886,0.011585570562905101,0.006413114819806504,191
2026-07-28 12:35:00,ccf-aiops-北大,br-2,br,0.6888888890130715,0.11,0.14,0.8472833213667439,0,0,3481.6,0.1555555555569299,0.7188607144836849,0.011585613915586435,0.006453261452284444,189
2026-07-28 12:35:00,ccf-aiops-北大,cr-1,cr,0.6277777771982898,0,0,0.8374294878776066,0,0,318.5777777777777,0.15777777777758373,0.7189004449377112,0.011585267094135654,0.006332760512432552,188
2026-07-28 12:35:00,ccf-aiops-北大,cr-2,cr,0.5222222219324806,0,0,0.8465958789924016,0,0,318.5777777777777,0.1555555555569299,0.7189039148463598,0.011585267094135654,0.006372841275169467,189
2026-07-28 12:35:00,ccf-aiops-北大,fw,firewall,0.5222222219324806,0,0.01,0.8568825427171705,0.0014772429249219178,0,23665.777777777774,0.3111111111098176,0.19248481344527013,0.01854986074019449,1.3530843112619095e-16,107
2026-07-28 12:35:00,ccf-aiops-北大,monitor-vm,collector,4.183333333348855,0.4,0.72,0.8602699212115493,0.05996805187993229,167298.84444444443,767681.4222222221,11.920000000003105,0.3356783178006537,0.023138240892059958,1.7694179454963432e-16,156
2026-07-28 12:35:00,ccf-aiops-北大,probe-vm,probe,0.16666666662786156,0,0,0.9285051537778809,0,0,31675.733333333334,0.09777777778152894,0.1935126410753647,0.018537871691645447,1.249000902703301e-16,120
2026-07-28 12:35:00,ccf-aiops-北大,service-vm-1,service,5.6388888889341615,0.29,0.25,0.9489634945238345,0.011845599980926496,91.02222222222221,336054.0444444444,21.306666666666086,0.15870278888138856,0.01278779944595021,1.249000902703301e-16,121
2026-07-28 12:35:00,ccf-aiops-北大,service-vm-2,service,0.24444444447807712,0.06,0.02,0.9289606529533875,0,0,63715.55555555555,0.37333333333663177,0.18869670653513682,0.018537248883928603,1.0408340855860843e-16,122
2026-07-28 12:35:00,ccf-aiops-北大,service-vm-3,service,0.2611111111279314,0.32,0.16,0.9302374954418527,0,0,35316.62222222222,0.32000000000051737,0.19350260369616457,0.018535224758848834,1.1102230246251565e-16,120
2026-07-28 12:35:00,ccf-aiops-北大,traffic-vm,traffic,0.44999999996637996,0.06,0.18,0.9243273845621574,0.009612092601864436,0,50608.35555555555,0.337777777781917,0.18871276634185707,0.018558735750159427,1.1796119636642288e-16,123
2026-07-28 12:36:00,ccf-aiops-北大,br-1,br,0.7000000003932314,0.03,0.02,0.8371507291070699,0,0,2685.155555555555,0.16666666666626245,0.7188676543009822,0.011585570562905101,0.006493278755054086,191
